gene_orf	gene_symbol
DMEL_CG10798	dm
DMEL_CG9648	Max
DMEL_CG10855	ntc
DMEL_CG8979	PI31
DMEL_CG1088	Vha26
DMEL_CG17332	VhaSFD
DMEL_CG10949	CG10949
DMEL_CG6683	CG6683
DMEL_CG1104	CG1104
DMEL_CG5862	CG5862
DMEL_CG11121	so
DMEL_CG8384	gro
DMEL_CG8991	Sobp
DMEL_CG9554	eya
DMEL_CG1115	Vps37B
DMEL_CG9712	TSG101
DMEL_CG11173	Snap29
DMEL_CG2715	Syx4
DMEL_CG31136	Syx1A
DMEL_CG6625	alphaSnap
DMEL_CG11181	cup
DMEL_CG4916	me31B
DMEL_CG1120	IntS10
DMEL_CG4785	IntS14
DMEL_CG11228	hpo
DMEL_CG33193	sav
DMEL_CG11326	Tsp
DMEL_CG7447	slow
DMEL_CG11347	DOR
DMEL_CG12334	Atg8b
DMEL_CG32672	Atg8a
DMEL_CG11354	Lim1
DMEL_CG11405	Atf3
DMEL_CG2275	Jra
DMEL_CG11486	CG11486
DMEL_CG8232	PAN2
DMEL_CG11525	CycG
DMEL_CG5643	wdb
DMEL_CG11579	arm
DMEL_CG34403	pan
DMEL_CG11622	Rlip
DMEL_CG2849	Rala
DMEL_CG11652	CG11652
DMEL_CG7265	CG7265
DMEL_CG45263	CG45263
DMEL_CG8228	Vps45
DMEL_CG11750	Pa1
DMEL_CG32133	ptip
DMEL_CG11761	trsn
DMEL_CG5063	Trax
DMEL_CG11881	dgt6
DMEL_CG4865	dgt4
DMEL_CG11882	CG11882
DMEL_CG6948	Clc
DMEL_CG9012	Chc
DMEL_CG11885	CG11885
DMEL_CG13319	CG13319
DMEL_CG11888	Rpn2
DMEL_CG13349	Rpn13
DMEL_CG11941	skpC
DMEL_CG4221	CG4221
DMEL_CG9316	CG9316
DMEL_CG11988	neur
DMEL_CG5185	Tom
DMEL_CG12007	CG12007
DMEL_CG18627	betaggt-II
DMEL_CG12051	Act42A
DMEL_CG33979	capt
DMEL_CG12114	spn-F
DMEL_CG2615	ik2
DMEL_CG1216	mri
DMEL_CG17806	CG17806
DMEL_CG4854	CG4854
DMEL_CG12171	CG12171
DMEL_CG31549	CG31549
DMEL_CG12202	Nat1
DMEL_CG9922	CG9922
DMEL_CG12297	Fadd
DMEL_CG5576	imd
DMEL_CG7486	Dredd
DMEL_CG12304	CG12304
DMEL_CG3821	Aats-asp
DMEL_CG12306	polo
DMEL_CG9379	by
DMEL_CG12333	CG12333
DMEL_CG5405	KrT95D
DMEL_CG12393	CG12393
DMEL_CG3573	Ocrl
DMEL_CG8993	CG8993
DMEL_CG12404	CG12404
DMEL_CG5484	CG5484
DMEL_CG1242	Hsp83
DMEL_CG13570	spag
DMEL_CG1249	SmD2
DMEL_CG16792	SmF
DMEL_CG12532	AP-1-2beta
DMEL_CG17360	CG17360
DMEL_CG12620	CG12620
DMEL_CG12767	Dip3
DMEL_CG12797	Ciao1
DMEL_CG7949	CG7949
DMEL_CG13085	CG13085
DMEL_CG16983	skpA
DMEL_CG13139	lft
DMEL_CG17941	ds
DMEL_CG3352	ft
DMEL_CG13151	CG13151
DMEL_CG2129	CG2129
DMEL_CG13190	cuff
DMEL_CG9252	del
DMEL_CG13343	Uba3
DMEL_CG7828	APP-BP1
DMEL_CG13503	Vrp1
DMEL_CG1520	WASp
DMEL_CG3727	dock
DMEL_CG13533	asrij
DMEL_CG8385	Arf79F
DMEL_CG13567	Not11
DMEL_CG18616	Not10
DMEL_CG5792	Pih1D1
DMEL_CG13624	CG13624
DMEL_CG18619	CG18619
DMEL_CG1363	blow
DMEL_CG1587	Crk
DMEL_CG13651	danr
DMEL_CG7583	CtBP
DMEL_CG13906	nerfin-1
DMEL_CG8544	sd
DMEL_CG14133	Pallidin
DMEL_CG30077	Blos1
DMEL_CG14232	CG14232
DMEL_CG9356	CG9356
DMEL_CG14542	Vps2
DMEL_CG9779	Vps24
DMEL_CG14544	CG14544
DMEL_CG9596	CG9596
DMEL_CG14549	Sld5
DMEL_CG18013	Psf2
DMEL_CG9187	Psf1
DMEL_CG1467	Syx16
DMEL_CG14685	Cap-H2
DMEL_CG6363	MRG15
DMEL_CG14802	MED18
DMEL_CG18780	MED20
DMEL_CG14815	Pex5
DMEL_CG4289	Pex14
DMEL_CG14884	CSN5
DMEL_CG6932	CSN6
DMEL_CG14962	Asciz
DMEL_CG6998	ctp
DMEL_CG14965	CG14965
DMEL_CG3052	HLH4C
DMEL_CG14992	Ack
DMEL_CG6757	SH3PX1
DMEL_CG14999	RfC4
DMEL_CG5313	RfC3
DMEL_CG1513	CG1513
DMEL_CG5014	Vap-33A
DMEL_CG9205	CG9205
DMEL_CG1519	Prosalpha7
DMEL_CG4904	Prosalpha6
DMEL_CG15220	RPA3
DMEL_CG9273	RPA2
DMEL_CG15367	Dip1
DMEL_CG18011	CG18011
DMEL_CG15415	Spindly
DMEL_CG15435	CG15435
DMEL_CG7139	CG7139
DMEL_CG1553	Nop17l
DMEL_CG6593	Pp1alpha-96A
DMEL_CG15532	hdc
DMEL_CG4620	unk
DMEL_CG15636	HP6
DMEL_CG18468	Lhr
DMEL_CG6219	cav
DMEL_CG8044	HP4
DMEL_CG15717	CG15717
DMEL_CG8525	CG8525
DMEL_CG15845	Adf1
DMEL_CG15889	Ravus
DMEL_CG1643	Atg5
DMEL_CG31033	Atg16
DMEL_CG6539	Gem3
DMEL_CG16738	slp1
DMEL_CG18591	SmE
DMEL_CG16838	CG16838
DMEL_CG1845	Br140
DMEL_CG43067	FoxP
DMEL_CG16941	CG16941
DMEL_CG2925	noi
DMEL_CG4643	Fsn
DMEL_CG9772	Skp2
DMEL_CG9952	ppa
DMEL_CG17046	klar
DMEL_CG9669	CG9669
DMEL_CG17117	hth
DMEL_CG8933	exd
DMEL_CG17153	ssp
DMEL_CG6801	l(3)j2D3
DMEL_CG17170	su(f)
